command,name,arg_size_bytes,res_size_bytes,res_options
80,noop                 ,0,1,!
81,assign_loco          ,3,1,!|1|2
82,clock_read           ,0,2,
83,clock_stop           ,0,1,!
84,clock_start          ,0,1,!
85,clock_set            ,2,1,!|3
86,clock_swap_12_24     ,0,1,!|3
87,clock_set_ratio      ,1,1,!|3
88,loco_dequeue_packet  ,2,1,!|1|2
89,use_main_track       ,0,1,!
8A,aiu_status           ,1,4,
8B,use_prog_track       ,0,1,!
8C,dummy                ,0,3,!|0D|0A
8D,loco_set_speed       ,3,1,!|1|3|14|28|128
8E,write_16             ,19,1,!|4
8F,read_16              ,2,16,
#
97,write_16             ,3,1,!
98,write_2              ,4,1,!
99,write_4              ,6,1,!
9A,write_8              ,10,1,!
9B,aiu_status_short     ,1,2,
9C,run_macro            ,1,1,!|0|3
9D,read_1               ,1,1,
9E,enter_prog_track_mode,0,1,!|3
9F,exit_prog_track_mode ,0,1,!
#
AA,version              ,0,3,
AB,soft_reset           ,0,0,